Rating,Corporation,Year,Default Probability
A-,American States Water Co.,2010,0.000153753770986
AAA,Automatic Data Processing Inc.,2010,0.000059979013536
BBB-,Avnet Inc.,2010,0.000095723113553
AA-,California Water Service Co.,2010,0.293041611374840
A,Cardinal Health Inc.,2010,0.000171575858903
BBB+,Cardinal Health Inc.,2010,0.000175801346803
BBB,Carpenter Technology Corp.,2010,0.000091682496827
BB,Companhia de Saneamento Basico do Estado de Sao Paulo,2010,0.000038908129825
BBB+,Compass Group PLC,2010,0.000200624271148
A-,Diageo PLC,2010,0.000075968046113
BBB-,Entergy Corp,2010,0.000043592718481
A-,Entergy Corp,2010,0.000050362060715
A,FMC Technologies Inc.,2010,0.000043129913574
BBB,FedEx Corp.,2010,0.000228851094407
BB,Flowserve Corp.,2010,0.000031900982431
A,Fluor Corp.,2010,0.000054411991231
B,Fresh Del Monte Produce Inc.,2010,0.000029272587454
BBB+,General Mills Inc.,2010,0.000051160550112
BB+,Jabil Inc.,2010,0.000024130393972
BBB,Kennametal Inc.,2010,0.000090161422978
BBB+,Kohl's Corp.,2010,0.000102382168342
B+,Koppers Holdings Inc.,2010,0.000056546413131
A,Korea Electric Power Corp.,2010,0.170135530117050
AAA,Madison Gas & Electric Co.,2010,0.000027917704868
B+,Micron Technology Inc.,2010,0.000206639337206
AAA,Microsoft Corp.,2010,0.000431614904438
A-,National Grid Gas PLC,2010,0.000013817906076
A,National Grid USA,2010,0.000021680606515
BBB-,Newmont USA Ltd.,2010,0.000064949843744
A-,Northwest Natural Gas Co.,2010,0.346104965498658
BB-,PNM Resources Inc,2010,0.000021798497120
BB-,Rent-A-Center Inc.,2010,0.000069137470391
BBB-,Shaw Communications Inc.,2010,0.000113111845534
BBB-,Southern Copper Corp.,2010,0.000044757690526
BBB+,Southern Power Company,2010,0.000044733854327
BBB,Teck Resources Ltd.,2010,0.000048423243925
BB+,TransAlta Corp.,2010,0.000025497775741
BBB,TransAlta Corporation,2010,0.000182905959152
BB-,Tutor Perini Corporation,2010,0.000026273001609
BB+,Universal Health Services Inc.,2010,0.000117906680876
BBB+,Vector Ltd.,2010,0.000032727300722
A,ALLETE Inc.,2011,0.000124757746150
AAA,Abbott Laboratories,2011,0.000118682315108
AAA,Abbott Laboratories,2011,0.000123058925504
A,Air Products and Chemicals Inc.,2011,0.000051654652406
B,Alaska Air Group Inc.,2011,0.000122253383579
BBB,Alliant Energy Corp.,2011,0.000055884164235
B-,American Axle & Manufacturing Holdings Inc.,2011,0.000014553761205
B-,American Axle & Manufacturing Holdings Inc.,2011,0.000015322694829
B,American Axle & Manufacturing Holdings Inc.,2011,0.000018594903933
A+,American States Water Co.,2011,0.000214120056841
A-,AmerisourceBergen Corp.,2011,0.000366685571472
A,AmerisourceBergen Corp.,2011,0.000349482553831
A+,Amgen Inc.,2011,0.000142186537307
A-,Amgen Inc.,2011,0.000144683324706
A+,Amgen Inc.,2011,0.000137200111873
A+,Amgen Inc.,2011,0.000176523760408
B+,Amkor Technology Inc.,2011,0.000028175590261
BB,Amkor Technology Inc.,2011,0.000030016035113
BBB,Amphenol Corp.,2011,0.000085885441849
A-,Analog Devices Inc.,2011,0.000261941875993
BBB,Arrow Electronics Inc.,2011,0.000071288395651
