age,ed,employ,address,income,debtinc,creddebt,othdebt,PD,default
36,1,16,13,32,10.9,0.544128,2.943872,0.0011563666650249837,0
50,1,6,27,21,12.9,1.316574,1.392426,0.012397188111961078,0
40,1,9,9,33,17.0,4.8807,0.7293,0.058836631108882737,1
31,1,5,7,23,2.0,0.046,0.414,0.010387344050841374,0
29,1,4,0,24,7.8,0.866736,1.005264,0.02844327235051134,0
25,2,1,3,14,9.9,0.232848,1.153152,0.03920412060646583,1
34,1,4,3,28,9.4,1.058064,1.573936,0.03126434389296411,0
50,1,30,8,150,32.5,13.5525,35.1975,0.09604321969512902,1
27,1,5,5,26,1.2,0.130416,0.181584,0.011189993608910147,0
31,4,7,12,97,6.0,1.82748,3.99252,0.014208293241900124,0
45,1,8,25,27,2.6,0.415584,0.286416,0.00468746707175021,0
35,1,10,8,28,1.3,0.109928,0.254072,0.0042574461288919715,0
47,2,27,7,107,6.1,1.638277,4.888723,0.0020894951170160937,0
50,3,25,7,94,5.3,1.733736,3.248264,0.0012999171440439368,0
37,2,15,11,108,11.8,5.250528,7.493472,0.024183690711404207,0
46,1,7,6,41,23.4,0.585234,9.008766,0.0522863584321177,1
26,4,1,5,92,13.0,6.50624,5.45376,0.09339829007700642,1
33,1,16,12,46,8.1,2.399544,1.326456,0.003281520425975026,0
43,1,8,0,32,19.0,1.23424,4.84576,0.0422925399145639,1
49,2,14,26,63,15.8,0.935676,9.018324,0.005793208579326899,0
44,1,2,15,22,9.6,1.091904,1.020096,0.027638394013615415,0
32,1,12,10,33,11.2,0.79464,2.90136,0.003373639404216369,0
38,1,5,4,20,1.5,0.0915,0.2085,0.014967935765844835,0
52,1,33,23,139,5.6,2.288496,5.495504,0.0022209719195871473,0
35,1,10,3,24,21.3,1.083744,4.028256,0.027994342719837046,0
33,4,4,12,22,5.5,0.56628,0.64372,0.015359007271948763,0
35,1,11,12,77,4.7,1.100176,2.518824,0.003337056795047089,0
34,2,9,3,40,1.6,0.37376,0.26624,0.006658834384616806,0
39,1,19,16,53,3.7,0.190217,1.770783,0.00027058901205848665,0
31,1,8,4,27,5.4,0.673596,0.784404,0.00905918858767282,0
37,1,5,11,27,9.4,0.41877,2.11923,0.011694837570425231,0
44,1,19,9,40,10.9,0.34444,4.01556,0.0021763949785658407,0
30,1,1,1,27,12.3,1.275264,2.045736,0.053973783922191064,1
37,1,18,9,58,10.3,2.86752,3.10648,0.0030703344607274975,0
35,1,11,9,40,2.9,0.57188,0.58812,0.0027565928160630192,0
43,1,4,11,26,7.1,0.751322,1.094678,0.017064196097779257,0
26,1,0,5,17,5.0,0.14195,0.70805,0.02803046204840034,0
35,1,13,4,42,17.6,0.768768,6.623232,0.013171280676373034,0
24,1,4,0,19,11.0,1.18503,0.90497,0.040791677367335535,1
24,1,4,1,23,4.9,0.242305,0.884695,0.018835257209658042,0
